"POLY_ID","GG_ID","PERCENT_merged"
456010,23,63
457001,22,63
457002,23,100
457003,23,63
457004,22,63
457005,23,66
457006,22,60
457007,22,40
457008,23,66
458001,22,66
458002,23,66
458003,23,100
458004,23,100
458005,22,100
458006,23,100
458007,23,66
458008,22,100
458009,22,100
458010,23,34
458011,23,63
458012,23,66
458013,23,100
458014,23,100
458015,23,66
458016,17,66
458017,23,66
458018,23,34
459001,2,66
459002,2,34
459003,23,66
459004,2,66
459005,17,66
459006,23,66
459007,2,66
459008,2,66
460001,23,34
460002,4,100
460003,23,100
460004,23,66
461001,23,100
461002,23,66
461003,23,66
461004,23,100
461005,14,100
461006,23,100
461007,18,66
461008,14,100
461009,14,66
461010,23,100
461011,23,100
461012,23,66
461013,23,34
461014,23,100
461015,23,100
461016,14,100
462001,23,66
463001,23,100
463002,23,100
463003,23,100
463005,23,66
463006,22,66
463007,23,100
463008,22,66
463009,23,100
463010,23,100
463011,23,66
463012,23,34
463013,23,100
463014,23,100
463015,23,100
464001,23,100
464002,23,65
464003,23,37
464004,18,63
464005,23,100
464006,23,40
464007,23,100
464008,23,37
464010,23,40
464011,23,100
464012,23,34
464013,23,100
464015,23,34
464016,23,34
464017,23,100
464018,23,37
464019,23,100
464020,23,63
464021,18,100
464022,23,34
464023,18,100
464024,23,66
465001,22,63
465002,22,63
465003,22,100
465004,22,100
466001,17,65
466002,23,100
466003,23,54
466004,23,60
466005,23,60
466006,18,66
466007,23,39
466008,23,66
466009,23,63
466010,23,63
466011,23,100
466012,23,100
466013,18,61
466014,23,66
466015,23,66
466016,17,66
466017,23,37
466018,23,63
466019,23,100
466020,17,66
466021,23,68
466022,23,60
466023,22,100
466024,23,100
466025,17,60
466026,23,61
466027,22,66
466028,23,63
466029,23,63
466030,23,61
466031,23,100
466032,23,100
466033,23,66
466034,23,66
466035,17,66
466036,23,60
466037,22,66
466038,23,60
466039,23,100
466040,23,100
466041,23,100
466042,23,100
466043,23,60
466044,23,100
466045,23,63
466046,14,66
466047,23,63
466048,23,100
466049,22,66
466050,22,63
466051,17,66
466052,17,68
466053,23,60
466054,23,100
466055,23,66
466056,23,66
466057,23,100
466058,18,66
466059,23,63
466060,23,66
466061,23,100
466062,2,100
466063,17,66
466064,23,60
467001,23,60
467002,17,100
467003,23,60
467004,22,100
467005,14,65
467006,23,60
467007,23,65
467008,22,100
467009,22,66
467010,23,65
468001,23,68
468002,23,100
468003,23,66
468004,23,100
468005,23,66
468006,23,66
468007,17,66
468008,22,66
468009,23,68
468010,23,60
468011,22,66
468012,17,67
468013,23,66
468014,17,100
468015,23,66
468016,23,66
468017,23,100
468018,23,100
468019,14,66
468020,23,66
468021,14,66
468023,23,66
468024,22,63
468025,22,60
468026,23,100
468027,22,66
468028,22,60
468029,17,66
468030,22,66
468031,22,66
468032,4,60
468033,14,66
468034,14,66
468036,22,63
468037,22,63
468038,17,66
468039,23,100
469001,23,100
469002,22,65
469004,23,34
470001,17,60
470002,23,37
470003,23,63
470004,17,60
470005,23,60
470006,17,40
470007,23,39
470008,22,60
470009,17,34
470010,23,34
470011,22,34
470012,23,60
470013,23,34
470014,23,66
470015,22,34
470016,17,39
470017,23,60
470018,17,34
470019,23,66
470020,23,34
470021,23,66
470022,23,63
470023,23,66
470024,23,66
470025,23,34
470026,23,66
470027,23,66
470028,23,40
470029,23,61
470030,23,66
470031,23,34
470032,23,66
470033,23,34
470034,23,66
470035,23,34
470036,23,34
470037,23,34
470038,23,61
470039,23,61
471001,23,60
471002,23,66
471003,22,66
471004,22,100
471005,23,100
471006,23,66
471007,23,60
471008,22,100
471009,23,60
471010,23,60
471011,23,61
471012,23,63
471013,23,63
471014,23,66
471015,23,100
471016,4,66
471017,23,100
471018,23,100
471019,23,100
471020,23,66
471021,23,61
472001,17,66
472002,23,100
472003,18,66
472004,14,63
472005,14,60
472006,22,60
472007,17,100
472008,22,61
472009,23,55
472010,14,100
472011,22,63
472013,22,60
472014,18,69
472015,23,63
472017,23,60
472018,23,60
472019,14,100
472020,23,60
472021,2,66
472022,22,60
472023,22,34
472024,23,60
472025,22,54
472026,23,60
472027,23,65
472028,22,100
472029,22,34
472030,23,63
472031,23,60
472032,23,65
473001,23,55
473002,22,66
473003,23,55
474010,23,63
474013,23,66
474016,23,60
474018,18,60
474020,23,34
474021,23,34
474022,23,34
474024,23,34
475001,23,63
475002,22,66
475003,23,63
475004,23,100
475005,23,63
475006,23,100
475007,4,100
475008,23,65
475009,23,66
475010,23,60
475011,14,60
475012,14,66
475013,14,60
475014,23,63
475015,23,66
475016,14,100
475017,23,60
475018,23,61
475019,14,66
475020,23,60
475021,22,63
475022,14,66
475023,22,100
475024,22,100
475025,23,63
476001,23,60
477001,22,63
477002,17,66
477003,17,66
477004,23,60
478001,23,70
478013,16,70
478015,23,70
478018,23,86
479001,23,100
479002,23,70
479003,23,100
479004,23,85
479005,1,100
479006,18,70
479007,1,100
479008,4,70
479009,23,100
479010,23,100
479012,1,90
479013,23,70
479014,23,70
479015,1,70
479017,23,100
479018,13,70
479020,23,70
479021,16,70
479022,23,100
479024,23,100
479025,13,70
479026,23,100
479027,23,70
479028,23,70
479029,23,70
479030,23,30
479031,23,100
479032,23,70
479033,23,70
479034,23,70
479035,12,70
479036,17,100
479037,23,70
479038,13,65
479039,23,100
479040,23,90
481001,1,70
481003,23,100
481004,23,91
481005,23,91
481006,23,91
481007,23,100
481008,23,100
481009,23,90
481010,23,100
481011,23,90
481012,23,100
481013,23,100
482001,23,100
482002,23,70
482003,23,25
482004,23,100
482007,23,100
482008,23,100
482009,23,100
482010,23,100
482013,23,70
482014,23,70
482015,23,70
482017,14,70
482018,14,70
482019,4,70
482020,23,70
482021,14,70
482022,23,70
482023,23,100
482024,23,100
482025,24,70
482026,14,70
482027,23,70
482028,23,70
482029,23,70
482030,23,70
482031,4,70
482032,23,70
482034,13,65
483001,23,70
483002,13,70
483003,13,70
483005,23,70
483006,13,70
483007,13,70
483008,23,100
483009,13,70
483010,13,70
483011,16,70
483012,4,70
483013,23,70
483015,13,70
483016,2,70
483017,23,70
483018,13,70
483019,23,70
483021,23,70
483022,22,30
483023,16,70
483024,4,30
483025,4,70
483026,23,70
483027,4,100
483030,13,70
483031,23,70
483032,23,70
483034,23,70
483035,4,70
483036,23,70
483037,23,70
484001,16,100
484002,16,65
484004,22,50
484005,23,60
484006,23,100
484007,16,65
484008,23,100
484009,16,70
484010,16,70
484011,16,78
484012,16,85
484013,23,69
484014,23,100
484015,23,51
484016,16,100
484017,23,85
484018,13,49
484019,16,70
484020,23,100
485001,23,63
485002,23,100
485003,12,70
485004,23,75
485005,16,35
485006,22,55
485007,23,100
485008,23,40
485009,23,70
485010,23,85
485011,16,50
485012,22,55
485013,22,100
485014,23,55
485015,23,62
485016,14,35
485017,23,91
485018,22,60
485019,22,70
486001,23,100
486002,16,70
486003,16,60
486004,23,56
486005,23,80
486006,23,90
486007,22,56
486008,16,50
486009,2,49
486010,23,76
486011,23,66
486012,23,90
486013,22,63
486014,23,100
486015,22,70
486016,23,70
486017,16,56
486018,23,76
486019,22,90
486020,23,73
486021,23,80
486022,3,63
486023,3,80
486024,3,80
486025,23,90
486026,3,63
486027,16,90
486028,3,90
486029,23,100
486030,22,70
487001,23,50
487002,23,70
487003,23,50
487004,23,100
487005,23,59
487006,23,100
487007,23,73
487008,22,63
487009,23,90
487010,3,66
487011,3,61
487012,4,38
487013,23,100
487014,23,53
487015,23,54
487016,23,93
487017,23,66
487018,22,33
487019,3,63
487020,3,61
487021,23,70
487022,3,59
487023,23,66
488001,22,65
488002,23,50
488003,22,60
488004,23,72
488005,23,100
488006,23,80
488007,23,100
488008,23,70
488009,23,51
488010,23,100
488011,23,70
488012,23,100
488013,23,65
488014,23,65
488015,23,79
488016,22,73
488017,23,55
488018,23,100
489001,22,70
489002,23,90
489003,22,90
489004,22,91
489005,23,63
489006,23,70
489007,23,70
489008,23,63
489009,23,80
489010,23,80
489011,23,100
489012,23,100
489013,23,100
489014,22,90
489015,23,80
489016,14,63
489017,23,100
489018,23,63
489019,22,100
489020,23,90
489021,23,100
489022,4,40
489023,23,71
489024,23,70
489025,16,56
490001,23,63
490002,23,73
490003,23,100
490004,23,73
490005,16,71
490006,23,100
490007,23,70
490008,3,66
491001,22,100
491002,23,50
491003,23,70
491004,22,79
491005,23,90
491006,23,51
491007,22,85
491008,23,80
491009,22,60
491010,23,60
491011,23,100
491012,23,50
491013,23,50
491014,23,90
491015,23,85
491016,23,79
491017,23,90
491018,23,50
491019,23,100
491020,23,70
491021,23,90
492001,23,100
492002,23,100
492003,23,100
492004,23,90
492005,23,100
492006,23,79
492007,23,79
492008,23,70
492009,23,50
493001,4,73
493002,16,73
493003,3,56
493004,23,100
493005,3,90
493006,23,100
493007,22,100
493008,23,90
493009,3,70
493010,16,63
493011,23,100
493012,23,100
493013,13,63
493014,23,76
493015,13,70
494001,16,56
494002,13,63
494003,19,95
494004,16,73
494005,16,67
494006,13,70
494007,13,70
494008,13,71
494009,13,70
495001,22,57
495002,23,100
495003,3,56
495004,3,80
495005,23,70
495006,16,90
495007,23,100
495008,16,90
495009,23,63
495010,23,63
495011,16,100
495012,16,100
496001,23,70
496002,16,70
496003,23,100
496004,3,63
496005,25,73
496006,3,56
496007,3,90
496008,23,100
496009,16,90
496010,13,63
496011,23,90
496012,23,80
496013,25,64
496014,23,90
496015,23,72
496016,23,90
496017,23,100
496018,23,100
497001,17,68
497002,13,63
497003,23,80
497004,16,80
497005,16,81
497006,13,80
497007,16,70
497008,16,90
497009,16,80
497010,16,63
497011,13,56
497012,13,80
497013,13,80
497014,23,90
497015,16,100
497016,13,80
497017,16,90
498001,23,100
498002,23,90
498003,23,90
498004,23,70
498005,23,90
499001,4,70
499002,16,90
499003,23,90
499004,23,100
499005,23,90
499006,13,63
499007,23,90
499008,23,70
499009,23,90
499010,23,85
499011,23,100
499012,23,55
499013,23,100
499014,23,90
499015,23,56
499016,23,80
499017,23,100
499018,12,56
499019,12,56
499020,23,90
499021,16,90
500001,3,55
500002,17,80
500003,3,70
500004,3,90
500005,13,30
500006,17,96
500007,17,100
500008,3,65
500009,3,100
500010,13,70
500011,3,70
500012,17,70
500013,23,75
500014,3,50
500015,23,80
500016,3,66
500017,12,60
500018,3,90
500019,17,100
500020,17,55
500021,14,56
500022,13,63
500023,23,52
500024,3,53
500025,3,80
500026,3,100
500027,12,80
500028,12,70
500029,18,63
500030,18,56
500031,17,63
500032,17,100
500033,3,49
500034,13,70
500035,3,56
500036,3,70
500037,3,100
500038,3,100
501001,16,70
501002,16,100
501003,23,73
501004,12,49
501005,3,49
501006,12,63
501007,23,66
501008,3,66
501009,16,70
501010,16,49
501011,23,90
501012,23,50
501013,23,49
501014,12,63
501015,16,50
501016,16,100
502001,23,90
502002,23,90
502003,23,80
502004,23,100
502005,12,70
502006,12,63
502007,23,70
502008,23,80
502009,23,70
502010,23,70
502011,23,49
502012,23,76
502013,17,100
502014,23,55
502015,23,90
502016,23,70
502017,23,79
502018,23,63
502019,23,63
502020,23,70
502021,23,56
502022,23,63
502024,23,70
502025,18,100
502026,23,70
502027,23,100
502028,23,70
502029,23,70
502030,23,100
502031,16,83
502032,25,60
503001,16,73
503002,12,39
503003,12,100
503004,12,100
503005,24,55
503006,16,100
503007,23,100
503008,3,90
503009,23,71
503010,16,90
503011,16,70
503012,3,84
503013,16,66
503014,3,64
503015,16,90
503016,16,90
503017,16,56
503018,17,56
503019,12,80
503020,16,100
503021,16,63
503022,12,63
503023,18,70
503024,16,90
503025,17,90
503026,16,100
503027,17,90
503028,17,90
503029,16,100
503030,17,100
503031,16,56
503033,16,90
503034,16,70
503035,3,90
503036,16,100
503037,25,56
503038,17,100
503039,17,100
503040,25,70
503041,12,55
503042,16,70
503043,17,100
503044,16,80
504001,23,100
504002,23,50
504003,16,30
504004,3,65
504005,23,45
504006,16,55
504007,3,55
504008,3,60
504009,23,95
504010,3,70
504011,23,80
504012,16,55
504013,23,80
504014,16,60
504015,3,55
504016,16,30
504017,16,70
504018,16,55
504019,16,70
504020,16,55
504021,3,60
504022,16,60
504023,16,75
504024,3,60
504025,16,75
504026,16,80
504027,3,100
504028,3,85
504029,16,65
504030,23,75
504031,16,85
504032,12,63
504033,23,90
504034,3,85
504035,23,90
504036,3,45
504037,3,90
504038,23,79
504039,16,90
504040,3,85
504041,3,55
504042,18,77
504043,3,95
504044,23,65
504045,23,45
504046,23,50
505001,3,70
505002,16,100
505003,16,90
505004,16,70
505005,16,90
505006,16,63
505007,17,70
505008,16,100
505009,16,90
505010,25,100
505011,25,67
505012,18,62
505013,16,80
505014,13,63
505015,13,57
506001,16,80
506002,16,90
506003,13,57
506004,23,90
506005,16,90
506006,23,56
506007,3,100
506008,3,70
506009,23,81
506010,16,80
506011,23,90
506012,16,100
507001,23,85
507002,23,85
507003,23,72
507004,23,65
507005,23,80
507006,23,45
507007,23,95
507008,23,65
507009,23,73
507010,23,60
507011,23,100
507012,23,90
507013,13,91
507014,16,100
507015,23,55
507016,23,45
507017,23,95
507018,16,55
507019,23,95
507020,23,100
507021,23,60
507022,16,60
507023,23,75
507024,16,37
507025,13,39
507026,23,63
507027,25,70
507028,23,100
507029,23,100
507030,16,25
507031,23,100
507032,3,85
507033,14,90
507034,3,65
507035,12,65
507036,23,100
507037,23,100
507038,23,70
508001,23,100
508002,23,90
508003,23,80
508004,23,70
508005,23,90
508006,23,76
508007,23,90
508008,23,63
508009,14,70
508010,23,90
508011,23,80
508012,23,90
508013,23,90
508014,23,90
508015,23,90
508016,23,80
508017,23,100
509001,22,65
509002,23,75
509003,16,55
509004,22,60
510001,23,90
510002,23,95
510003,23,40
510004,23,95
510005,23,85
510006,23,80
510007,23,100
510008,23,65
510009,23,85
510010,23,85
510011,23,90
510013,23,85
511001,23,85
511004,23,15
511005,23,10
511006,23,100
512001,23,95
512002,23,95
512003,23,95
512004,23,90
513001,23,100
513002,23,90
513003,23,100
513004,23,95
513005,23,95
513006,23,85
513007,23,90
513008,23,80
513009,23,90
513010,14,50
513011,23,90
513012,23,85
513013,23,75
514001,23,90
514002,23,80
514003,23,60
514004,23,90
514005,23,85
514006,23,90
514007,23,70
514008,23,90
515001,23,90
515002,23,80
515003,23,80
515004,23,80
516001,23,90
516002,23,90
516003,14,60
516004,23,100
516005,23,80
516006,23,65
516007,23,100
516008,23,60
516009,14,55
516010,23,80
516011,23,85
516012,23,100
516013,16,75
516014,23,90
516015,16,55
516016,23,95
516017,23,90
516018,23,100
516019,23,95
516020,23,10
516021,23,75
516022,23,90
516023,23,75
516024,18,5
516025,23,100
516026,23,80
516027,23,90
516028,23,95
516030,23,80
516031,23,85
516032,23,65
516033,23,75
516034,23,95
516035,24,100
516036,23,85
516037,23,90
516038,23,85
516039,23,90
516040,23,85
516041,23,90
516042,23,90
516043,23,80
516044,23,90
516045,23,90
516046,23,90
516047,23,70
516048,23,80
516049,18,5
516050,23,65
516051,23,70
516052,23,95
516053,22,65
516055,23,90
516056,23,92
516057,23,95
516058,22,70
516059,23,75
516060,14,35
516061,23,88
516062,22,60
516063,23,85
516064,23,90
516065,23,45
516066,14,75
516067,23,70
516068,23,70
516069,14,50
516070,14,70
516071,14,50
516072,23,85
516073,22,75
516074,14,65
517001,23,90
517002,23,90
517003,16,70
517004,13,35
517005,3,50
517006,13,30
517007,3,90
517008,16,50
517009,23,60
517010,16,75
517011,12,75
517012,23,70
517013,23,80
517014,23,85
517015,16,50
517016,23,100
518001,23,80
518002,14,15
518003,23,90
518004,23,95
518005,23,70
518006,23,95
518007,16,20
518008,23,95
518009,23,35
518010,23,80
518011,23,90
518012,23,95
518013,23,100
518014,16,90
518015,23,95
518016,23,40
518017,23,100
518018,23,85
519001,23,90
519002,23,90
519003,23,78
519004,23,85
519005,23,25
519006,23,65
519007,23,75
519008,23,35
519009,23,90
519010,23,80
519011,23,20
519012,23,95
519013,23,92
519014,23,90
519015,23,100
519016,23,88
519017,23,100
519018,23,80
519019,23,90
519020,23,85
519021,23,85
519022,23,20
519023,23,95
519024,23,20
520001,23,95
520002,23,95
520003,23,95
520004,23,75
520005,23,100
520006,23,95
520007,23,95
521001,23,95
521002,23,80
521003,23,95
521004,23,90
521005,23,90
521006,23,85
521007,23,100
521008,23,80
521009,23,80
522001,23,65
522002,23,70
522003,16,35
522004,23,95
522005,16,50
522006,23,95
522007,16,70
522008,23,90
522009,23,92
522010,16,95
522011,23,90
522012,23,80
522013,23,75
522014,16,75
522015,23,95
522016,12,60
522017,23,100
522018,16,45
522019,23,45
522020,23,75
522021,16,65
522022,23,100
522023,23,75
523001,16,95
523002,14,60
523003,23,95
523004,14,75
523005,23,95
523006,23,95
523007,23,90
523008,23,100
523009,23,92
523010,23,100
523011,23,85
523012,23,85
523013,23,95
523014,3,90
523015,23,85
523016,3,45
523017,23,95
523018,23,80
523019,23,65
523020,23,75
523021,23,55
523022,23,95
523023,23,100
523024,16,75
523025,16,60
523026,3,95
523027,16,50
523028,23,100
523029,3,50
523030,23,95
523031,23,90
523032,23,60
523033,23,85
523034,12,70
523035,12,45
523036,12,80
523037,23,95
523038,23,85
523039,16,65
523040,23,95
524001,23,95
524002,23,90
524003,23,95
524004,23,90
524005,14,85
525001,23,85
525002,23,95
525003,16,45
525004,23,90
525005,23,85
525006,3,65
525007,16,70
525008,23,95
525009,23,95
525010,25,85
525011,23,75
526001,23,95
527001,23,95
527002,23,95
527003,23,90
527004,23,90
527005,23,95
527006,23,50
527007,23,90
527008,23,95
527009,23,72
527010,23,65
527011,23,60
528001,23,85
528002,23,60
528003,23,90
528004,23,85
528005,3,70
528006,23,95
528007,16,65
528008,23,70
528009,16,75
528010,23,50
528011,3,40
528012,3,80
528013,23,90
528014,23,45
529001,23,90
529002,23,95
529003,23,95
529004,23,95
529005,23,75
529006,23,95
529007,23,100
529008,23,95
529009,23,95
529010,23,95
530001,23,85
530002,23,95
530003,23,65
530004,23,90
530005,23,65
530006,23,55
530007,23,60
531001,23,95
531002,23,90
531003,23,100
531004,23,95
531005,23,95
531006,23,100
531007,23,80
531008,23,100
531009,23,95
531010,23,90
531011,23,90
531012,23,100
531013,23,80
531014,23,100
531015,23,35
531016,23,85
531017,23,93
531018,16,40
531019,23,55
531020,23,85
531021,23,75
531022,23,45
532001,23,35
533001,22,30
534001,23,80
534002,23,70
534003,16,50
534004,23,40
534005,14,50
534008,14,10
534009,14,40
534010,23,50
535001,23,80
536001,23,80
536002,23,60
536003,23,70
536004,23,90
536005,23,100
536006,23,30
536007,23,30
536008,23,80
536009,23,40
536010,23,70
536011,23,40
536012,23,50
536013,23,80
536014,23,80
536015,23,80
536016,16,50
537001,3,60
537002,23,80
537003,23,60
537004,23,100
537005,23,60
538001,23,100
539001,24,100
539002,21,70
539003,24,100
539004,23,65
539005,23,65
539006,24,70
539007,24,100
539008,4,65
540001,13,70
540002,17,100
540003,23,70
540004,23,100
540005,13,70
540006,14,70
540007,23,70
540008,23,70
540009,23,70
540010,18,70
540011,13,70
540012,23,70
540014,23,70
540015,23,70
540016,4,70
540017,13,70
540018,23,70
540019,13,100
540020,13,70
540021,1,70
540022,23,90
540023,18,70
540024,4,70
540025,21,70
540027,23,100
540028,23,100
540029,13,70
540030,13,65
540031,13,70
540032,18,70
540033,23,100
540034,18,70
540035,23,65
540036,23,70
540037,23,70
540038,17,70
540039,18,70
540040,23,100
540041,13,70
540042,13,70
540043,23,70
540044,13,100
540045,13,65
540046,23,100
540047,23,90
540048,23,100
540049,18,70
540050,14,70
540051,23,100
540052,13,70
540053,4,70
540054,23,70
540055,13,100
540056,13,65
540057,13,100
540058,13,100
540059,13,100
540060,14,70
540061,23,90
540062,19,100
540063,13,100
540064,13,65
540065,23,100
540066,13,70
540067,13,65
540068,13,100
540069,14,70
540070,13,65
540071,14,70
540072,13,100
540073,23,70
540074,23,65
540075,13,70
540076,4,70
540077,14,70
540078,13,70
540079,18,100
540080,2,65
540081,14,70
540082,13,65
540083,13,70
540084,22,70
540085,4,70
540086,13,70
540087,23,100
540088,4,70
540089,23,100
540090,23,30
540091,23,100
540092,13,90
540093,4,70
540094,23,70
540095,23,70
540096,23,65
540097,4,70
540098,13,70
540099,4,70
540100,14,70
540101,4,100
540102,23,70
540103,4,65
540104,4,70
540105,14,70
540106,19,70
540107,23,70
540109,23,70
540110,13,70
540111,13,65
540112,23,70
540113,23,100
540114,4,70
540115,23,100
540116,23,70
541001,4,70
541002,23,100
541003,13,100
541004,23,90
541005,23,65
541006,23,70
541007,13,70
541008,23,100
541009,23,70
541010,13,100
541011,13,70
541012,13,70
541013,13,100
541014,23,100
541015,23,100
541016,13,70
541017,1,100
541018,14,70
541019,1,100
541020,13,100
541021,23,30
541023,23,30
541024,23,70
541025,23,70
541026,13,70
541027,23,30
541028,1,100
541029,1,70
541030,13,90
541031,13,100
541032,1,100
541033,13,70
541034,4,70
541035,4,70
541036,1,70
541037,1,100
541038,13,70
541039,13,70
541040,14,70
541041,13,70
541042,13,70
541043,13,100
541044,14,65
541045,13,79
541046,4,70
541047,13,70
541048,13,70
541049,13,100
541050,13,100
541051,19,70
541052,19,70
541053,19,70
541054,1,100
541055,2,70
541056,1,100
541057,13,60
541058,13,70
541059,1,70
541060,13,100
541061,23,70
541062,18,70
541063,13,70
541064,1,100
541065,14,100
541066,13,70
541067,4,30
541068,23,70
541069,1,70
542001,16,47
542002,23,85
542003,16,42
542004,16,77
543001,13,73
543002,13,70
543003,1,60
543004,23,100
543005,1,48
543006,19,77
543007,13,70
543008,13,74
543009,13,64
543010,13,54
543011,19,96
543012,13,53
544001,1,41
544002,1,73
544003,13,68
544004,1,75
544005,19,89
544006,1,84
544007,13,49
544008,1,66
544009,1,78
544010,13,53
544011,13,52
544012,1,33
545001,13,41
545002,1,54
545003,3,51
545004,1,85
545005,13,54
545006,13,76
546001,13,48
546002,13,58
546003,13,82
546004,1,43
546005,1,69
546006,1,85
546007,1,67
547001,16,37
547002,1,68
547003,13,40
547004,19,46
547005,1,43
547006,1,56
547007,1,50
547008,1,77
547009,1,89
547010,1,71
547011,1,57
548001,18,70
549001,13,13
549002,15,30
549003,13,46
549004,23,38
550001,23,70
550003,1,70
550004,1,35
550006,1,75
550008,1,50
550010,15,85
550012,16,70
550014,16,40
550015,1,85
550016,1,89
550017,1,80
550018,1,50
550019,13,40
550021,16,30
550025,13,71
550026,1,58
550027,15,51
550028,15,62
551001,15,52
551002,15,87
551005,15,57
551007,13,63
551008,15,94
551009,15,84
551010,15,55
551011,15,73
551012,15,77
551013,1,77
551014,15,84
551015,15,49
551016,1,70
551017,1,47
551018,1,71
551019,13,48
551020,15,77
551021,15,80
551022,1,87
551023,15,65
551024,19,90
551025,13,48
551026,1,61
551027,15,62
551028,1,78
551029,15,89
552001,1,85
